iter	Passed	Remaining
0	156	156423
1	159	79698
2	163	54213
3	166	41476
4	169	33808
5	173	28732
6	176	25075
7	180	22404
8	184	20305
9	188	18673
10	191	17255
11	195	16097
12	198	15088
13	202	14239
14	205	13515
15	209	12869
16	212	12288
17	215	11776
18	218	11301
19	222	10900
20	225	10530
21	229	10207
22	232	9883
23	236	9610
24	239	9352
25	243	9109
26	246	8881
27	250	8688
28	253	8504
29	257	8311
30	260	8135
31	263	7973
32	267	7844
33	271	7710
34	274	7569
35	277	7439
36	281	7319
37	284	7213
38	288	7097
39	291	6996
40	294	6894
41	298	6817
42	301	6719
43	305	6630
44	308	6549
45	311	6469
46	315	6393
47	318	6314
48	321	6240
49	324	6170
50	328	6107
51	331	6040
52	334	5982
53	338	5927
54	341	5873
55	345	5815
56	348	5767
57	351	5715
58	354	5661
59	358	5608
60	361	5559
61	364	5515
62	367	5471
63	370	5424
64	373	5379
65	377	5340
66	380	5305
67	383	5261
68	387	5224
69	390	5184
70	393	5154
71	397	5121
72	400	5086
73	403	5048
74	406	5014
75	411	5003
76	415	4975
77	418	4945
78	421	4915
79	426	4904
80	430	4880
81	433	4852
82	435	4809
83	439	4789
84	443	4777
85	447	4753
86	451	4736
87	456	4727
88	460	4716
89	464	4696
90	468	4680
91	472	4662
92	475	4640
93	479	4617
94	482	4596
95	486	4578
96	489	4558
97	492	4536
98	496	4517
99	500	4503
100	504	4486
101	507	4468
102	510	4447
103	514	4431
104	517	4413
105	521	4394
106	524	4375
107	528	4362
108	531	4344
109	534	4327
110	537	4308
111	541	4297
112	545	4282
113	548	4265
114	552	4249
115	555	4234
116	558	4216
117	561	4199
118	564	4182
119	567	4164
120	571	4151
121	574	4133
122	577	4117
123	583	4124
124	587	4111
125	590	4098
126	593	4080
127	596	4063
128	599	4050
129	603	4038
130	606	4023
131	609	4009
132	613	3996
133	616	3984
134	619	3969
135	622	3955
136	625	3940
137	628	3928
138	632	3917
139	635	3903
140	638	3890
141	641	3876
142	644	3864
143	648	3852
144	651	3839
145	654	3826
146	657	3812
147	660	3800
148	663	3788
149	666	3776
150	669	3763
151	672	3752
152	675	3741
153	679	3731
154	682	3722
155	686	3711
156	689	3701
157	692	3690
158	695	3679
159	698	3668
160	700	3651
161	703	3640
162	706	3628
163	709	3617
164	712	3608
165	716	3598
166	719	3589
167	722	3579
168	725	3569
169	728	3559
170	732	3550
171	735	3540
172	738	3531
173	741	3521
174	744	3511
175	748	3503
176	751	3492
177	753	3481
178	756	3471
179	759	3461
180	763	3453
181	766	3443
182	769	3435
183	772	3425
184	775	3416
185	778	3407
186	781	3398
187	785	3391
188	789	3385
189	792	3379
190	796	3371
191	799	3364
192	802	3356
193	806	3348
194	809	3342
195	812	3334
196	816	3326
197	819	3319
198	823	3313
199	826	3307
200	837	3329
201	841	3325
202	846	3322
203	850	3318
204	854	3315
205	858	3309
206	861	3300
207	865	3294
208	869	3289
209	873	3284
210	876	3278
211	880	3272
212	884	3267
213	887	3260
214	890	3252
215	894	3245
216	898	3241
217	901	3235
218	905	3227
219	908	3220
220	911	3213
221	915	3206
222	918	3198
223	921	3191
224	924	3183
225	928	3181
226	932	3174
227	935	3166
228	938	3159
229	941	3152
230	945	3146
231	948	3138
232	951	3132
233	954	3125
234	958	3119
235	961	3112
236	964	3105
237	967	3099
238	971	3092
239	974	3085
240	977	3078
241	980	3071
242	984	3065
243	987	3060
244	990	3053
245	994	3048
246	998	3042
247	1002	3040
248	1006	3036
249	1009	3029
250	1012	3022
251	1016	3016
252	1020	3011
253	1023	3006
254	1028	3004
255	1032	3001
256	1036	2997
257	1039	2990
258	1043	2986
259	1047	2982
260	1051	2976
261	1054	2970
262	1058	2966
263	1066	2972
264	1069	2967
265	1073	2961
266	1077	2956
267	1080	2950
268	1083	2944
269	1087	2939
270	1091	2935
271	1094	2929
272	1098	2926
273	1102	2921
274	1106	2916
275	1109	2910
276	1112	2904
277	1117	2901
278	1120	2896
279	1124	2891
280	1127	2885
281	1130	2879
282	1134	2874
283	1137	2868
284	1140	2861
285	1143	2855
286	1147	2849
287	1150	2845
288	1154	2840
289	1158	2835
290	1163	2833
291	1166	2828
292	1169	2822
293	1173	2817
294	1177	2813
295	1181	2810
296	1185	2805
297	1188	2800
298	1192	2796
299	1196	2791
300	1199	2786
301	1203	2780
302	1206	2775
303	1210	2772
304	1214	2767
305	1217	2762
306	1221	2757
307	1224	2751
308	1228	2746
309	1231	2740
310	1234	2735
311	1238	2730
312	1241	2724
313	1244	2719
314	1247	2713
315	1251	2708
316	1254	2703
317	1258	2698
318	1261	2693
319	1266	2690
320	1270	2688
321	1274	2684
322	1279	2680
323	1283	2678
324	1287	2674
325	1291	2669
326	1294	2665
327	1297	2658
328	1300	2651
329	1302	2644
330	1304	2636
331	1306	2628
332	1308	2619
333	1310	2612
334	1311	2603
335	1313	2594
336	1314	2586
337	1316	2577
338	1317	2568
339	1318	2559
340	1320	2551
341	1322	2543
342	1323	2535
343	1325	2527
344	1326	2518
345	1328	2511
346	1329	2502
347	1331	2493
348	1332	2485
349	1333	2476
350	1334	2468
351	1336	2459
352	1337	2451
353	1338	2443
354	1340	2434
355	1341	2426
356	1342	2417
357	1343	2409
358	1345	2401
359	1346	2393
360	1347	2385
361	1348	2376
362	1349	2368
363	1351	2360
364	1352	2352
365	1353	2344
366	1355	2337
367	1356	2329
368	1357	2321
369	1359	2313
370	1360	2306
371	1361	2298
372	1362	2291
373	1364	2283
374	1365	2276
375	1366	2268
376	1368	2261
377	1369	2253
378	1371	2246
379	1372	2238
380	1373	2231
381	1374	2223
382	1375	2216
383	1376	2208
384	1378	2201
385	1379	2194
386	1384	2193
387	1386	2186
388	1387	2179
389	1388	2171
390	1389	2164
391	1390	2157
392	1392	2150
393	1393	2143
394	1394	2136
395	1395	2128
396	1397	2122
397	1398	2115
398	1400	2109
399	1401	2102
400	1402	2095
401	1404	2088
402	1405	2081
403	1406	2075
404	1407	2068
405	1408	2061
406	1410	2054
407	1411	2047
408	1412	2040
409	1413	2034
410	1414	2027
411	1416	2021
412	1417	2014
413	1418	2007
414	1419	2001
415	1420	1994
416	1421	1987
417	1422	1981
418	1424	1974
419	1425	1968
420	1426	1961
421	1427	1954
422	1428	1948
423	1429	1942
424	1430	1935
425	1431	1929
426	1432	1922
427	1433	1916
428	1434	1909
429	1435	1903
430	1436	1896
431	1437	1890
432	1438	1884
433	1439	1877
434	1440	1871
435	1441	1865
436	1443	1859
437	1444	1853
438	1445	1846
439	1446	1840
440	1447	1834
441	1448	1828
442	1449	1822
443	1450	1816
444	1451	1809
445	1452	1803
446	1453	1797
447	1454	1791
448	1455	1785
449	1456	1779
450	1457	1773
451	1458	1768
452	1459	1762
453	1460	1756
454	1461	1750
455	1462	1744
456	1463	1739
457	1464	1733
458	1465	1727
459	1466	1721
460	1467	1716
461	1468	1710
462	1469	1704
463	1470	1699
464	1471	1693
465	1473	1688
466	1474	1682
467	1475	1676
468	1476	1671
469	1477	1665
470	1478	1660
471	1479	1654
472	1480	1649
473	1481	1643
474	1482	1638
475	1483	1633
476	1484	1627
477	1485	1622
478	1486	1617
479	1487	1611
480	1488	1606
481	1489	1601
482	1490	1595
483	1491	1590
484	1492	1585
485	1493	1580
486	1495	1575
487	1496	1570
488	1497	1565
489	1498	1559
490	1499	1554
491	1500	1549
492	1501	1544
493	1502	1539
494	1504	1534
495	1505	1529
496	1506	1524
497	1507	1519
498	1508	1514
499	1509	1509
500	1510	1504
501	1511	1499
502	1512	1494
503	1513	1489
504	1514	1484
505	1515	1479
506	1516	1474
507	1517	1470
508	1518	1465
509	1519	1460
510	1520	1455
511	1521	1450
512	1523	1445
513	1524	1441
514	1525	1436
515	1526	1431
516	1527	1426
517	1528	1421
518	1529	1417
519	1530	1412
520	1531	1407
521	1532	1402
522	1533	1398
523	1534	1393
524	1535	1388
525	1536	1384
526	1537	1379
527	1538	1375
528	1539	1370
529	1540	1366
530	1541	1361
531	1542	1356
532	1543	1352
533	1544	1347
534	1545	1343
535	1546	1338
536	1547	1334
537	1548	1329
538	1549	1325
539	1550	1320
540	1551	1316
541	1552	1312
542	1553	1307
543	1554	1303
544	1555	1298
545	1556	1294
546	1557	1290
547	1558	1285
548	1559	1281
549	1560	1277
550	1561	1272
551	1563	1268
552	1564	1264
553	1565	1260
554	1566	1255
555	1567	1251
556	1568	1247
557	1569	1243
558	1570	1238
559	1571	1234
560	1572	1230
561	1573	1226
562	1574	1222
563	1575	1217
564	1576	1213
565	1577	1209
566	1578	1205
567	1579	1201
568	1580	1197
569	1581	1193
570	1582	1189
571	1583	1185
572	1584	1181
573	1585	1176
574	1586	1172
575	1587	1168
576	1588	1164
577	1589	1160
578	1590	1156
579	1591	1152
580	1593	1148
581	1594	1144
582	1595	1141
583	1596	1137
584	1597	1133
585	1598	1129
586	1599	1125
587	1600	1121
588	1601	1117
589	1602	1113
590	1603	1109
591	1604	1105
592	1605	1102
593	1606	1098
594	1607	1094
595	1608	1090
596	1609	1086
597	1610	1082
598	1611	1079
599	1612	1075
600	1613	1071
601	1614	1067
602	1615	1063
603	1616	1060
604	1617	1056
605	1618	1052
606	1619	1048
607	1620	1045
608	1621	1041
609	1622	1037
610	1623	1033
611	1625	1030
612	1626	1026
613	1627	1022
614	1628	1019
615	1629	1015
616	1630	1011
617	1631	1008
618	1632	1004
619	1633	1001
620	1634	997
621	1635	993
622	1636	990
623	1637	986
624	1638	983
625	1639	979
626	1641	976
627	1642	972
628	1643	969
629	1644	965
630	1645	962
631	1646	958
632	1647	955
633	1648	951
634	1649	948
635	1650	944
636	1651	941
637	1652	937
638	1653	934
639	1655	931
640	1656	927
641	1657	924
642	1658	920
643	1660	917
644	1661	914
645	1662	910
646	1663	907
647	1664	904
648	1665	900
649	1666	897
650	1667	894
651	1668	890
652	1669	887
653	1670	883
654	1671	880
655	1672	877
656	1673	873
657	1674	870
658	1675	867
659	1676	863
660	1677	860
661	1678	857
662	1679	853
663	1680	850
664	1682	847
665	1683	844
666	1684	840
667	1685	837
668	1686	834
669	1687	831
670	1688	827
671	1689	824
672	1690	821
673	1691	818
674	1692	814
675	1693	811
676	1694	808
677	1695	805
678	1697	802
679	1698	799
680	1699	796
681	1700	792
682	1701	789
683	1702	786
684	1703	783
685	1704	780
686	1705	777
687	1706	773
688	1707	770
689	1708	767
690	1709	764
691	1710	761
692	1711	758
693	1712	755
694	1713	752
695	1714	749
696	1715	745
697	1716	742
698	1717	739
699	1719	736
700	1720	733
701	1721	730
702	1722	727
703	1723	724
704	1724	721
705	1725	718
706	1726	715
707	1727	712
708	1728	709
709	1729	706
710	1730	703
711	1731	700
712	1732	697
713	1733	694
714	1734	691
715	1735	688
716	1736	685
717	1737	682
718	1738	679
719	1739	676
720	1740	673
721	1741	670
722	1742	667
723	1743	664
724	1745	661
725	1746	659
726	1747	656
727	1748	653
728	1749	650
729	1750	647
730	1751	644
731	1752	641
732	1753	638
733	1754	635
734	1755	632
735	1756	630
736	1757	627
737	1759	624
738	1760	621
739	1761	618
740	1762	616
741	1764	613
742	1765	610
743	1766	607
744	1768	605
745	1769	602
746	1770	599
747	1771	596
748	1772	594
749	1773	591
750	1774	588
751	1775	585
752	1776	582
753	1778	580
754	1779	577
755	1780	574
756	1781	571
757	1782	568
758	1783	566
759	1784	563
760	1785	560
761	1786	557
762	1787	555
763	1789	552
764	1790	549
765	1791	547
766	1792	544
767	1793	541
768	1794	539
769	1795	536
770	1796	533
771	1797	530
772	1798	528
773	1799	525
774	1800	522
775	1801	520
776	1806	518
777	1808	515
778	1809	513
779	1810	510
780	1811	507
781	1812	505
782	1813	502
783	1814	499
784	1815	497
785	1816	494
786	1817	491
787	1818	489
788	1819	486
789	1820	483
790	1821	481
791	1822	478
792	1823	476
793	1824	473
794	1825	470
795	1826	468
796	1827	465
797	1828	462
798	1829	460
799	1831	457
800	1832	455
801	1833	452
802	1834	450
803	1835	447
804	1836	444
805	1837	442
806	1838	439
807	1839	437
808	1840	434
809	1841	432
810	1842	429
811	1843	426
812	1844	424
813	1846	421
814	1847	419
815	1848	416
816	1849	414
817	1850	411
818	1851	409
819	1853	406
820	1854	404
821	1855	401
822	1856	399
823	1857	396
824	1858	394
825	1859	391
826	1860	389
827	1861	386
828	1863	384
829	1864	381
830	1865	379
831	1866	376
832	1867	374
833	1868	371
834	1869	369
835	1870	366
836	1871	364
837	1872	362
838	1873	359
839	1875	357
840	1876	354
841	1877	352
842	1878	349
843	1879	347
844	1880	344
845	1881	342
846	1882	340
847	1883	337
848	1884	335
849	1885	332
850	1886	330
851	1887	327
852	1888	325
853	1890	323
854	1891	320
855	1892	318
856	1893	315
857	1894	313
858	1895	311
859	1896	308
860	1897	306
861	1898	303
862	1899	301
863	1900	299
864	1901	296
865	1902	294
866	1903	292
867	1904	289
868	1905	287
869	1907	284
870	1908	282
871	1909	280
872	1910	277
873	1911	275
874	1912	273
875	1913	270
876	1914	268
877	1915	266
878	1916	263
879	1917	261
880	1918	259
881	1919	256
882	1920	254
883	1921	252
884	1922	249
885	1923	247
886	1924	245
887	1925	242
888	1926	240
889	1927	238
890	1928	235
891	1929	233
892	1930	231
893	1932	229
894	1933	226
895	1934	224
896	1935	222
897	1936	219
898	1937	217
899	1939	215
900	1940	213
901	1941	210
902	1942	208
903	1943	206
904	1944	204
905	1945	201
906	1946	199
907	1947	197
908	1948	195
909	1949	192
910	1950	190
911	1951	188
912	1952	186
913	1953	183
914	1954	181
915	1955	179
916	1956	177
917	1957	174
918	1958	172
919	1959	170
920	1960	168
921	1961	165
922	1963	163
923	1963	161
924	1965	159
925	1966	157
926	1967	154
927	1968	152
928	1969	150
929	1970	148
930	1971	146
931	1972	143
932	1973	141
933	1974	139
934	1975	137
935	1976	135
936	1977	132
937	1978	130
938	1979	128
939	1981	126
940	1982	124
941	1983	122
942	1984	119
943	1985	117
944	1986	115
945	1987	113
946	1988	111
947	1989	109
948	1990	106
949	1991	104
950	1992	102
951	1993	100
952	1994	98
953	1996	96
954	1997	94
955	1998	91
956	1999	89
957	2000	87
958	2001	85
959	2002	83
960	2003	81
961	2004	79
962	2005	77
963	2006	74
964	2007	72
965	2008	70
966	2009	68
967	2010	66
968	2011	64
969	2012	62
970	2013	60
971	2014	58
972	2016	55
973	2017	53
974	2018	51
975	2020	49
976	2021	47
977	2022	45
978	2023	43
979	2024	41
980	2026	39
981	2027	37
982	2028	35
983	2029	32
984	2030	30
985	2031	28
986	2032	26
987	2033	24
988	2034	22
989	2035	20
990	2036	18
991	2037	16
992	2038	14
993	2039	12
994	2041	10
995	2042	8
996	2043	6
997	2044	4
998	2045	2
999	2046	0
